"BOARD_ID","TYPE","DATA__NAME","DATA__VALUE","DATA__DELTA_T"
"","","my","0.11998","259"
"","","mz","0.09436","259"
"Sensor_test_R","9dof_imu","ax","4.15394","251"
"","","ay","8.550153","251"
"","","az","-1.741975","251"
"","","gx","-1.07625","251"
"","","gy","1.32125","251"
"","","gz","4.59375","251"
"","","mx","0.4795","251"
"","","my","0.11914","251"
"","","mz","0.098","251"
"Sensor_test_R","9dof_imu","ax","4.35733","258"
"","","ay","8.5346","258"
"","","az","-1.773082","258"
"","","gx","0.97125","258"
"","","gy","0.63","258"
"","","gz","2.49375","258"
"","","mx","0.48538","258"
"","","my","0.11998","258"
"","","mz","0.08988","258"
"Sensor_test_R","9dof_imu","ax","4.163511","252"
"","","ay","8.584849","252"
"","","az","-1.611566","252"
"","","gx","-1.12","252"
"","","gy","1.9425","252"
"","","gz","2.91375","252"
"","","mx","0.47894","252"
"","","my","0.1197","252"
"","","mz","0.08736","252"
"Sensor_test_R","9dof_imu","ax","4.186243","251"
"","","ay","8.379066","251"
"","","az","-1.648655","251"
"","","gx","1.07625","251"
"","","gy","7.1575","251"
"","","gz","0.90125","251"
"","","mx","0.48818","251"
